1,Finland,7.632
2,Norway,7.594
3,Denmark,7.555
4,Iceland,7.495
5,Switzerland,7.487
6,Netherlands,7.441
7,Canada,7.328
8,New Zealand,7.324
9,Sweden,7.314
10,Australia,7.272
11,United Kingdom,7.190
12,Austria,7.139
13,Costa Rica,7.072
14,Ireland,6.977
15,Germany,6.965
16,Belgium,6.927
17,Luxembourg,6.910
18,United States,6.886
19,Israel,6.814
20,United Arab Emirates,6.774
21,Czech Republic,6.711
22,Malta,6.627
23,France,6.489
24,Mexico,6.488
25,Chile,6.476
26,Taiwan,6.441
27,Panama,6.430
28,Brazil,6.419
29,Argentina,6.388
30,Guatemala,6.382
31,Uruguay,6.379
32,Qatar,6.374
33,Saudi Arabia,6.371
34,Singapore,6.343
35,Malaysia,6.322
36,Spain,6.310
37,Colombia,6.260
38,Trinidad & Tobago,6.192
39,Slovakia,6.173
40,El Salvador,6.167
41,Nicaragua,6.141
42,Poland,6.123
43,Bahrain,6.105
44,Uzbekistan,6.096
45,Kuwait,6.083
46,Thailand,6.072
47,Italy,6.000
48,Ecuador,5.973
49,Belize,5.956
50,Lithuania,5.952
51,Slovenia,5.948
52,Romania,5.945
53,Latvia,5.933
54,Japan,5.915
55,Mauritius,5.891
56,Jamaica,5.890
57,South Korea,5.875
58,Northern Cyprus,5.835
59,Russia,5.810
60,Kazakhstan,5.790
61,Cyprus,5.762
62,Bolivia,5.752
63,Estonia,5.739
64,Paraguay,5.681
65,Peru,5.663
66,Kosovo,5.662
67,Moldova,5.640
68,Turkmenistan,5.636
69,Hungary,5.620
70,Libya,5.566
71,Philippines,5.524
72,Honduras,5.504
73,Belarus,5.483
74,Turkey,5.483
75,Pakistan,5.472
76,Hong Kong,5.430
77,Portugal,5.410
78,Serbia,5.398
79,Greece,5.358
80,Lebanon,5.358
81,Montenegro,5.347
82,Croatia,5.321
83,Dominican Republic,5.302
84,Algeria,5.295
85,Morocco,5.254
86,China,5.246
87,Azerbaijan,5.201
88,Tajikistan,5.199
89,Macedonia,5.185
90,Jordan,5.161
91,Nigeria,5.155
92,Kyrgyzstan,5.131
93,Bosnia and Herzegovina,5.129
94,Mongolia,5.125
95,Vietnam,5.103
96,Indonesia,5.093
97,Bhutan,5.082
98,Somalia,4.982
99,Cameroon,4.975
100,Bulgaria,4.933
101,Nepal,4.880
102,Venezuela,4.806
103,Gabon,4.758
104,Palestinian Territories,4.743
105,South Africa,4.724
106,Iran,4.707
107,Ivory Coast,4.671
108,Ghana,4.657
109,Senegal,4.631
110,Laos,4.623
111,Tunisia,4.592
112,Albania,4.586
113,Sierra Leone,4.571
114,Congo (Brazzaville),4.559
115,Bangladesh,4.500
116,Sri Lanka,4.471
117,Iraq,4.456
118,Mali,4.447
119,Namibia,4.441
120,Cambodia,4.433
121,Burkina Faso,4.424
122,Egypt,4.419
123,Mozambique,4.417
124,Kenya,4.410
125,Zambia,4.377
126,Mauritania,4.356
127,Ethiopia,4.350
128,Georgia,4.340
129,Armenia,4.321
130,Myanmar,4.308
131,Chad,4.301
132,Congo (Kinshasa),4.245
133,India,4.190
134,Niger,4.166
135,Uganda,4.161
136,Benin,4.141
137,Sudan,4.139
138,Ukraine,4.103
139,Togo,3.999
140,Guinea,3.964
141,Lesotho,3.808
142,Angola,3.795
143,Madagascar,3.774
144,Zimbabwe,3.692
145,Afghanistan,3.632
146,Botswana,3.590
147,Malawi,3.587
148,Haiti,3.582
149,Liberia,3.495
150,Syria,3.462
151,Rwanda,3.408
152,Yemen,3.355
153,Tanzania,3.303
154,South Sudan,3.254
155,Central African Republic,3.083
156,Burundi,2.905
